nm,单体1,单体2,单体3
800,0.0856,0.1143,0.148
799,0.0856,0.1143,0.148
798,0.0856,0.1143,0.149
797,0.0856,0.1143,0.15
796,0.0856,0.1143,0.151
795,0.0856,0.1152,0.152
794,0.0856,0.1152,0.153
793,0.0864,0.1161,0.154
792,0.0864,0.1161,0.154
791,0.0872,0.1161,0.155
790,0.0872,0.1161,0.155
789,0.0872,0.1161,0.155
788,0.0872,0.1161,0.155
787,0.0872,0.1161,0.154
786,0.088,0.1161,0.154
785,0.088,0.1161,0.155
784,0.088,0.1161,0.155
783,0.0888,0.1161,0.155
782,0.0888,0.1161,0.155
781,0.088,0.1152,0.155
780,0.088,0.1152,0.155
779,0.0872,0.1143,0.156
778,0.0872,0.1143,0.156
777,0.0864,0.1134,0.157
776,0.0864,0.1134,0.157
775,0.0864,0.1134,0.158
774,0.0872,0.1134,0.159
773,0.0872,0.1134,0.16
772,0.0872,0.1134,0.16
771,0.088,0.1134,0.161
770,0.088,0.1125,0.161
769,0.088,0.1125,0.162
768,0.088,0.1134,0.162
767,0.088,0.1134,0.162
766,0.0888,0.1143,0.163
765,0.0888,0.1143,0.164
764,0.0888,0.1143,0.164
763,0.0888,0.1143,0.165
762,0.0888,0.1134,0.165
761,0.0888,0.1125,0.165
760,0.0888,0.1125,0.165
759,0.088,0.1116,0.165
758,0.088,0.1116,0.166
757,0.0888,0.1116,0.166
756,0.0888,0.1116,0.167
755,0.0888,0.1116,0.167
754,0.0888,0.1116,0.167
753,0.0888,0.1116,0.168
752,0.0888,0.1116,0.168
751,0.0888,0.1116,0.169
750,0.0896,0.1116,0.17
749,0.0896,0.1125,0.171
748,0.0896,0.1125,0.171
747,0.0896,0.1134,0.172
746,0.0904,0.1143,0.173
745,0.0904,0.1143,0.174
744,0.0904,0.1143,0.174
743,0.0904,0.1143,0.174
742,0.0912,0.1143,0.175
741,0.0912,0.1143,0.175
740,0.092,0.1152,0.176
739,0.092,0.1152,0.176
738,0.0928,0.1152,0.176
737,0.0928,0.1152,0.177
736,0.0928,0.1152,0.177
735,0.0928,0.1152,0.177
734,0.0928,0.1152,0.178
733,0.0928,0.1152,0.178
732,0.0928,0.1152,0.179
731,0.0928,0.1152,0.18
730,0.0928,0.1152,0.18
729,0.0928,0.1152,0.181
728,0.0928,0.1143,0.181
727,0.0928,0.1143,0.182
726,0.0928,0.1143,0.182
725,0.0936,0.1143,0.183
724,0.0936,0.1134,0.183
723,0.0936,0.1143,0.184
722,0.0944,0.1143,0.185
721,0.0944,0.1143,0.185
720,0.0952,0.1143,0.186
719,0.0952,0.1152,0.187
718,0.0952,0.1152,0.188
717,0.096,0.1161,0.188
716,0.096,0.1161,0.189
715,0.096,0.1161,0.189
714,0.096,0.117,0.19
713,0.096,0.117,0.19
712,0.096,0.117,0.191
711,0.096,0.117,0.191
710,0.0968,0.117,0.192
709,0.0968,0.117,0.192
708,0.0968,0.1161,0.193
707,0.0968,0.117,0.193
706,0.0976,0.1161,0.193
705,0.0976,0.1161,0.194
704,0.0976,0.1161,0.195
703,0.0984,0.1161,0.195
702,0.0992,0.117,0.196
701,0.0992,0.117,0.197
700,0.0992,0.117,0.197
699,0.1,0.117,0.198
698,0.1,0.117,0.199
697,0.1008,0.117,0.2
696,0.1008,0.1179,0.2
695,0.1008,0.1179,0.201
694,0.1008,0.1179,0.201
693,0.1008,0.1179,0.202
692,0.1008,0.1179,0.203
691,0.1008,0.1179,0.203
690,0.1016,0.1179,0.204
689,0.1016,0.1179,0.204
688,0.1016,0.1179,0.205
687,0.1016,0.1179,0.205
686,0.1024,0.1179,0.205
685,0.1024,0.1179,0.206
684,0.1024,0.1188,0.207
683,0.1032,0.1188,0.207
682,0.104,0.1188,0.208
681,0.104,0.1188,0.209
680,0.104,0.1197,0.21
679,0.1048,0.1197,0.21
678,0.1048,0.1197,0.21
677,0.1048,0.1197,0.211
676,0.1048,0.1197,0.212
675,0.1056,0.1197,0.213
674,0.1056,0.1197,0.213
673,0.1056,0.1197,0.214
672,0.1064,0.1197,0.215
671,0.1064,0.1197,0.216
670,0.1072,0.1197,0.217
669,0.108,0.1197,0.217
668,0.108,0.1206,0.218
667,0.1088,0.1206,0.219
666,0.1088,0.1206,0.22
665,0.1088,0.1206,0.221
664,0.1096,0.1215,0.221
663,0.1096,0.1215,0.222
662,0.1104,0.1215,0.223
661,0.1104,0.1215,0.223
660,0.1112,0.1215,0.224
659,0.1112,0.1215,0.225
658,0.1112,0.1215,0.225
657,0.112,0.1215,0.226
656,0.112,0.1215,0.226
655,0.112,0.1206,0.227
654,0.1128,0.1206,0.227
653,0.1128,0.1206,0.228
652,0.1136,0.1206,0.229
651,0.1136,0.1206,0.23
650,0.1144,0.1206,0.231
649,0.1144,0.1197,0.232
648,0.1144,0.1206,0.233
647,0.1152,0.1206,0.234
646,0.116,0.1206,0.235
645,0.116,0.1206,0.235
644,0.116,0.1215,0.236
643,0.1168,0.1215,0.237
642,0.1168,0.1215,0.238
641,0.1176,0.1224,0.238
640,0.1176,0.1224,0.239
639,0.1184,0.1233,0.24
638,0.1184,0.1233,0.241
637,0.1184,0.1233,0.242
636,0.1192,0.1233,0.243
635,0.1192,0.1233,0.244
634,0.12,0.1233,0.245
633,0.12,0.1233,0.246
632,0.1208,0.1233,0.247
631,0.1208,0.1233,0.248
630,0.1208,0.1233,0.249
629,0.1216,0.1233,0.25
628,0.1216,0.1233,0.251
627,0.1224,0.1233,0.252
626,0.1224,0.1233,0.252
625,0.1232,0.1242,0.253
624,0.1232,0.1242,0.254
623,0.124,0.1242,0.255
622,0.124,0.1242,0.257
621,0.1248,0.1251,0.258
620,0.1248,0.1251,0.259
619,0.1256,0.1251,0.26
618,0.1264,0.1251,0.261
617,0.1264,0.1251,0.262
616,0.1264,0.1251,0.263
615,0.1272,0.1251,0.264
614,0.1272,0.1251,0.265
613,0.128,0.1251,0.266
612,0.128,0.1251,0.266
611,0.1288,0.126,0.267
610,0.1288,0.126,0.269
609,0.1296,0.1269,0.27
608,0.1304,0.1269,0.271
607,0.1304,0.1278,0.273
606,0.1312,0.1278,0.274
605,0.1312,0.1287,0.275
604,0.132,0.1287,0.276
603,0.132,0.1287,0.277
602,0.132,0.1287,0.278
601,0.1328,0.1287,0.279
600,0.1328,0.1287,0.28
599,0.1328,0.1278,0.28
598,0.1328,0.1269,0.281
597,0.1328,0.1269,0.281
596,0.1336,0.1269,0.282
595,0.1336,0.126,0.282
594,0.1336,0.126,0.283
593,0.1344,0.126,0.284
592,0.1344,0.1269,0.285
591,0.1344,0.1269,0.286
590,0.1352,0.1278,0.287
589,0.1352,0.1278,0.288
588,0.136,0.1287,0.289
587,0.136,0.1287,0.291
586,0.1368,0.1296,0.292
585,0.1368,0.1296,0.293
584,0.1368,0.1296,0.294
583,0.1376,0.1296,0.295
582,0.1384,0.1296,0.296
581,0.1384,0.1305,0.297
580,0.1392,0.1305,0.298
579,0.14,0.1305,0.299
578,0.14,0.1305,0.3
577,0.1408,0.1314,0.301
576,0.1416,0.1323,0.302
575,0.1416,0.1323,0.303
574,0.1416,0.1323,0.304
573,0.1424,0.1332,0.305
572,0.1424,0.1341,0.307
571,0.1432,0.1341,0.308
570,0.1432,0.1341,0.309
569,0.144,0.135,0.31
568,0.144,0.135,0.311
567,0.144,0.1341,0.311
566,0.144,0.1341,0.312
565,0.1448,0.1341,0.313
564,0.1448,0.135,0.313
563,0.1448,0.135,0.314
562,0.1456,0.135,0.315
561,0.1464,0.1359,0.316
560,0.1464,0.1359,0.317
559,0.1464,0.1368,0.318
558,0.1472,0.1377,0.32
557,0.148,0.1377,0.321
556,0.148,0.1377,0.322
555,0.1488,0.1386,0.323
554,0.1488,0.1386,0.323
553,0.1488,0.1386,0.325
552,0.1488,0.1386,0.325
551,0.1496,0.1386,0.326
550,0.1496,0.1395,0.327
549,0.1504,0.1395,0.328
548,0.1504,0.1395,0.329
547,0.1504,0.1404,0.33
546,0.1512,0.1404,0.331
545,0.1512,0.1404,0.332
544,0.1512,0.1413,0.333
543,0.152,0.1413,0.335
542,0.152,0.1422,0.336
541,0.1528,0.1431,0.337
540,0.1536,0.1431,0.338
539,0.1536,0.144,0.339
538,0.1544,0.144,0.341
537,0.1552,0.1449,0.342
536,0.1552,0.1449,0.343
535,0.1552,0.1458,0.344
534,0.156,0.1458,0.345
533,0.156,0.1467,0.346
532,0.1568,0.1467,0.347
531,0.1576,0.1467,0.348
530,0.1576,0.1476,0.349
529,0.1584,0.1476,0.35
528,0.1584,0.1485,0.351
527,0.1592,0.1485,0.352
526,0.16,0.1494,0.353
525,0.16,0.1503,0.354
524,0.1608,0.1503,0.356
523,0.1616,0.1512,0.357
522,0.1616,0.1512,0.359
521,0.1624,0.1521,0.361
